Title,Location,Company,Posting,Salary
Customer Service Representative,Jakarta Raya,Eaton Group,20 jam yang lalu,N/A
Young Professionals Fast Track,Jakarta Selatan,Deliveree (PT Angkut Teknologi Indonesia),6 hari yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month"
Procurement Officer,Jakarta Selatan,PT. OCS Global Services (OCS Indonesia),35 menit yang lalu,N/A
PM Admin utk Integra,Jakarta Raya,PT. Lintas Teknologi Indonesia,1 hari yang lalu,N/A
Receptionist Executive - Jakarta,Jakarta Raya,PT ISS INDONESIA (Bintaro),3 jam yang lalu,Rp 5.000.000 – Rp 7.000.000 per month
Marketing Supervisor,Jakarta Selatan,Indofood Group,20 jam yang lalu,N/A
Full Stack Developer and Operations Support,Jakarta Pusat,PT. CNAINDO TEKNOLOGI,1 jam yang lalu,Rp 5.400.000 – Rp 7.000.000 per month
Senior Videographer (Singapore),Jakarta Raya,Boom Digital Media,20 hari yang lalu,"$5,000 – $7,500 per month (SGD)"
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,8 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month"
Brand Associate,Jakarta Selatan,"PT Darya Varia Laboratoria, Tbk",2 hari yang lalu,N/A
Technical Service,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,N/A
RECEPTIONIST,Jakarta Utara,PT Uniair Indotama Cargo,13 hari yang lalu,N/A
Corporate Accounting & Management Reporting,Jakarta Selatan,PT Bakrieland Development Tbk,1 hari yang lalu,Rp 9.000.000 – Rp 11.000.000 per month
Admin Purchasing Temporary,Jakarta Raya,Sari Rasa Group,20 jam yang lalu,N/A
Procurement Supervisor,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),2 hari yang lalu,N/A
OP,Kemayoran,MAXWIDE LOGISTICS INC.,3 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month
Lauric Origination Analyst,Jakarta Raya,"PT SMART,Tbk",4 jam yang lalu,N/A
Customer Service - Assistant Manager,Jakarta Raya,redBus,7 hari yang lalu,"Rp 11,000,000 – Rp 14,000,000 per month"
Floor Captain - SKYE Jakarta,Jakarta Raya,ISMAYA GROUP,23 jam yang lalu,N/A
Chef,Jakarta Timur,PT Daesang Agung Indonesia,1 hari yang lalu,N/A
Affiliate Specialist - Beauty Industry,Jakarta Utara,PT RANS Kosmetika Indonesia,3 jam yang lalu,N/A
Project Manager,Jakarta Barat,PT Draco Internasional,1 hari yang lalu,N/A
Regulatory Compliance Manager,Jakarta Selatan,PT Finture Tech Indonesia,20 jam yang lalu,N/A
Brand Marketing Intern,Jakarta Raya,Danone Indonesia,20 jam yang lalu,N/A
Government Relation Manager (Shipping),Jakarta Pusat,SOECHI GROUP,1 hari yang lalu,N/A
Guest Relations Supervisor - SKYE Jakarta,Jakarta Pusat,ISMAYA GROUP,22 jam yang lalu,N/A
Senior Account Manager,Jakarta Selatan,PT Jobstreet Indonesia,3 hari yang lalu,N/A
Agent Contact Center (English Role),Jakarta Selatan,PT Transcosmos Indonesia,22 hari yang lalu,Rp 5.400.000 – Rp 6.500.000 per month
Project Manager,Jakarta Selatan,PT Upartners Sukses Bersama,17 jam yang lalu,N/A
Origination Associate,Jakarta Raya,PT RHB Sekuritas Indonesia,20 jam yang lalu,N/A
EXPORT - IMPORT ADMINISTRATION STAFF,Jakarta Barat,PT Pahala Bahari Nusantara,1 hari yang lalu,N/A
MEP Assistant Manager (Building Operations) - Real Estate - Jakarta (B-123186),Jakarta Pusat,RGF HR Agent Indonesia,1 jam yang lalu,Rp 15.000.000 – Rp 18.000.000 per month
Sales & Marketing Executive IMPORT,Jakarta Utara,PT Trio Eagle Logistic,1 hari yang lalu,Rp 8.000.000 – Rp 9.000.000 per month
Shipment Supervisor,Jakarta Pusat,PT EXODO ECOMMERCE INNOVASIA,1 hari yang lalu,N/A
Social Media Designer,Jakarta Pusat,PT TRI SUKSES WANATAMA,9 hari yang lalu,N/A
MEP Senior Executive (Building Operations) - Real Estate - Jakarta (B-123186),Jakarta Pusat,RGF HR Agent Indonesia,1 jam yang lalu,Rp 10.000.000 – Rp 15.000.000 per month
Account Manager - Notebook Department (Jakarta),Jakarta Raya,"MSI Pacific International Holding CO,LTD",21 jam yang lalu,N/A
CS IMPORT OPERATION STAFF,Jakarta Raya,PT TGL INDONESIA LOGISTICS,1 hari yang lalu,N/A
Account Payable Staff,Jakarta Pusat,PT OS Selnajaya Indonesia,11 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month
Accounting and Tax Staff,Jakarta Pusat,PT. Kimeko Jasa Handal,19 hari yang lalu,N/A
AMAG Graduated Program (Management Trainee),Jakarta Raya,PT Asuransi Multi Artha Guna Tbk,16 hari yang lalu,N/A
Customer Service Quality Assurance - English,Jakarta Barat,PT Rajawali Berdikari Indonesia,1 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month
Jr Brand Manager (International),Jakarta Pusat,PT Kapal Api Global,2 hari yang lalu,N/A
Marketing Consultant,Jakarta Raya,PT Leads Property Services Indonesia,2 hari yang lalu,N/A
Presales Engineer,Jakarta Raya,PT JAC Consulting Indonesia,3 jam yang lalu,Rp 8.000.000 – Rp 12.000.000 per month
GA Staff - Trading (C-123164),Jakarta Raya,RGF HR Agent Indonesia,1 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month
Senior Executive Assistant - Hybrid,Jakarta Raya,Citibank,1 hari yang lalu,N/A
ERP Consultant (Fresh Graduate),Jakarta Pusat,PT Hashmicro Solusi Indonesia,1 hari yang lalu,N/A
Digital Channel and Data Analytics Solutions Specialist,Jakarta Pusat,FKS Group,2 hari yang lalu,N/A
Medical Representative (Jakarta),Jakarta Raya,PT Anugerah Pharmindo Lestari (APL),7 hari yang lalu,N/A
Staff Sales Admin,Jakarta Pusat,PT Trafoindo Prima Perkasa,7 hari yang lalu,N/A
Sales Supervisor (JABODETABEK),Jakarta Raya,PT Sumber Kosmetika Indah,1 hari yang lalu,N/A
Sales Executive - Freight Forwarding,Jakarta Pusat,PT Dexter Eurekatama (Dexter Cargo),15 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month
Business Consultant Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,20 hari yang lalu,Rp 5.400.000 – Rp 7.000.000 per month
Services Head Indonesia,Jakarta Raya,Citibank,17 jam yang lalu,N/A
Travel & Formalities Officer,Jakarta Pusat,PT BAGAS BUMI PERSADA,1 hari yang lalu,N/A
SERVICE FRONTLINE,Jakarta Raya,PT. Bank KEB Hana Indonesia,8 hari yang lalu,N/A
English Teacher,Jakarta Raya,PT UPI,2 hari yang lalu,N/A
Customer Experience - Japanese Speaker,Jakarta Pusat,PT Mitracomm Ekasarana,27 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month
Account Executive Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,19 hari yang lalu,Rp 6.400.000 – Rp 9.000.000 per month
Network Security Engineer,Jakarta Timur,PT. LOTTE INNOVATE INDONESIA,5 hari yang lalu,N/A
Event Specialist,Jakarta Pusat,PT Daikin Airconditioning Indonesia,20 hari yang lalu,Rp 10.800.000 – Rp 10.900.000 per month
T&T Consultant - AMS - SAP OpenText - ID,Jakarta Raya,Deloitte Consulting SEA,1 hari yang lalu,N/A
Customer Service Specialist,Jakarta Raya,TE Connectivity,5 hari yang lalu,N/A
Senior Executive Assistant - Hybrid,Jakarta Raya,Citibank,1 hari yang lalu,N/A
SERVICE FRONTLINE,Jakarta Raya,PT. Bank KEB Hana Indonesia,8 hari yang lalu,N/A
CS IMPORT OPERATION STAFF,Jakarta Raya,PT TGL INDONESIA LOGISTICS,1 hari yang lalu,N/A
General Manager (Activation Event Business Unit),Jakarta Selatan,PT Talentvis Consulting Indonesia,1 hari yang lalu,N/A
Marine Sales Area,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,N/A
Customer Service Executive - English,Jakarta Barat,PT Rajawali Berdikari Indonesia,1 hari yang lalu,Rp 5.397.000 – Rp 6.000.000 per month
