Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Sales Admin,(Administrasi & Dukungan Perkantoran),PT AAF International Indonesia,Jakarta Utara,7 jam yang lalu,"Rp 5,000,000 – Rp 7,000,000 per month","Sales Admin plays a crucial role in supporting the sales team and ensuring smooth sales operations, primarily focusing on pre-purchase order activity.",5000000.0,7000000.0,month,IDR
Quality Control Technician,"(Manufaktur, Transportasi & Logistik)",PT Philips Industries Batam,Batam Kota,3 jam yang lalu,,-,,,,
Marketing Executive (Indonesia),(Pemasaran & Komunikasi),Duopharma Biotech Bhd Group of Companies.,Jakarta Raya,8 jam yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month",The opportunity to work for a reputable pharmaceutical company.,6000000.0,9000000.0,month,IDR
GT Channel Manager,(Ritel & Produk Konsumen),DKT Indonesia,Jakarta Raya,51 menit yang lalu,,"Manage strategic accounts, execute business plans in General & Modern Trade, grow sales, boost market share, and build strong customer relationships.",,,,
Spare Parts Sales Administration Staff,(Administrasi & Dukungan Perkantoran),,Depok,2 jam yang lalu,,"The Spare Parts Sales Administration is primarily responsible for controlling, monitoring and arranging the administration process.",,,,
MANAGER - PLANNING MATERIAL CONTROL,"(Manufaktur, Transportasi & Logistik)",PT WIK Far East Batam,Batam Kota,6 jam yang lalu,,Minimum 6 years' experience as Manager PMC in Electronic Manufacturing.,,,,
Purchasing Assistant Manager,"(Manufaktur, Transportasi & Logistik)",PT Bukit Muria Jaya,Karawang,7 jam yang lalu,,"Join PT Bukit Muria Jaya, a global manufacturer of international standard packaging & paper with a collaborative & innovative work culture.",,,,
Executive Assistant for C Level Visinema,(Administrasi & Dukungan Perkantoran),PT Merah Cipta Media,Cilandak,2 jam yang lalu,Rp 10.000.000 – Rp 15.000.000 per month,seeking an experienced and reliable Executive Assistant to provide high-level administrative support to a CLevel Executive.,10000000.0,15000000.0,month,IDR
Production Engineer,(Teknik),PT Ronstan International,Batam,8 jam yang lalu,Rp 9.500.000 – Rp 11.500.000 per month,.,9500000.0,11500000.0,month,IDR
HR Compensation & Benefit Staff,(Sumber Daya Manusia & Perekrutan),PT Uni-Charm Indonesia Tbk,Karawang,2 jam yang lalu,Rp 5.700.000 – Rp 6.000.000 per month,HR Compensation & Benefit Staff,5700000.0,6000000.0,month,IDR
Interior Project Manager,(Desain & Arsitektur),PT ARKADIA SINERGI INDONESIA (Arkadia Works),Jakarta Selatan,33 menit yang lalu,,Having capacity to produce detailed Bill of Quantity (BQ). Experiences in the field of architecture & interior construction project,,,,
Sales Administration (Staff),(Administrasi & Dukungan Perkantoran),,Jakarta Raya,21 jam yang lalu,Rp5.000.000 – Rp5.500.000 per month,Job Description : Filling the various Sales documents. Assist various administrative work for the Sales department,5000000.0,5500000.0,month,IDR
Area Sales Manager - South Sumatera,(Penjualan),PT Glico Indonesia,Palembang,6 jam yang lalu,,This Position is responsible for developing and executing sales strategies to drive business growth within a responsible area.,,,,
Business Performance Department Head,(Konsultasi & Strategi),PT ISS INDONESIA (Bintaro),Tangerang Selatan,1 hari yang lalu,,"Corporate Strategy, Strategic Business Performance Framework, KPI Development, Data Analysis, and Business Reviews.",,,,
Media Relation Coordinator,(Pemasaran & Komunikasi),PT Prodia Widyahusada Tbk,Jakarta Pusat,5 jam yang lalu,,"Plan & execute brand/marketing initiatives, boost awareness, manage media, social & communication.",,,,
Chemist,(Sains & Teknologi),PT. Pacific Palmindo Industri,Deli Serdang,18 menit yang lalu,,"Prepare and maintain the Quality, Food Safety, Environmental Management System, and related procedures.",,,,
IT Support,(Teknologi Informasi & Komunikasi),PT Domino Printing Indonesia,Jakarta Utara,5 jam yang lalu,,"The candidate must have a strong knowledge of networking and troubleshooting skills of Microsoft Windows 11, Local Area Networking (LAN)",,,,
CUSTOMER SERVICE- Coordinator,"(Manufaktur, Transportasi & Logistik)",Sherwin-Williams Services (Malaysia) Sdn Bhd,Semarang,8 hari yang lalu,"Rp 7,000,000 – Rp 10,000,000 per month","This role supports internal departments, customers, and stockists, while driving operational excellence and contributing to sales growth.",7000000.0,10000000.0,month,IDR
WAREHOUSE SUPERVISOR / ASST. MANAGER,"(Manufaktur, Transportasi & Logistik)",PT Sumber Bintang Perkasa,Jakarta Raya,4 jam yang lalu,,"PT Sumber Bintang Perkasa (SBP) is the holding company for PT Bintang Terang Perkasa, PT Bintang Hartono Jaya, and PT Mitra Accessories Indonesia....",,,,
Data Analyst,(Perbankan & Layanan Finansial),PT Dipo Star Finance,Jakarta Raya,11 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month,analyze data to identify trends.,5500000.0,8000000.0,month,IDR
ACCOUNTING / ADMIN,(Akuntansi),PT BOTOL INDONESIA MANDIRI,Jakarta Utara,22 menit yang lalu,Rp 5.100.000 – Rp 5.500.000 per month,"Make Data Entries in Accounting Software
Make Rule Order ( Purchase Order, Sales Confirmation, Packing List, delivery Note, Proforma Invoice )",5100000.0,5500000.0,month,IDR
