Title,Location,Company,Posting,Salary,Salary_Low,Salary_High,Unit,Currency
Customer Service Representative,Jakarta Raya,Eaton Group,20 jam yang lalu,,,,,
Young Professionals Fast Track,Jakarta Selatan,Deliveree (PT Angkut Teknologi Indonesia),6 hari yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month",6000000.0,9000000.0,month,IDR
Procurement Officer,Jakarta Selatan,PT. OCS Global Services (OCS Indonesia),35 menit yang lalu,,,,,
PM Admin utk Integra,Jakarta Raya,PT. Lintas Teknologi Indonesia,1 hari yang lalu,,,,,
Receptionist Executive - Jakarta,Jakarta Raya,PT ISS INDONESIA (Bintaro),3 jam yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,5000000.0,7000000.0,month,IDR
Marketing Supervisor,Jakarta Selatan,Indofood Group,20 jam yang lalu,,,,,
Full Stack Developer and Operations Support,Jakarta Pusat,PT. CNAINDO TEKNOLOGI,1 jam yang lalu,Rp 5.400.000 – Rp 7.000.000 per month,5400000.0,7000000.0,month,IDR
Senior Videographer (Singapore),Jakarta Raya,Boom Digital Media,20 hari yang lalu,"$5,000 – $7,500 per month (SGD)",5000.0,7500.0,month,USD
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,8 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month",8000000.0,12000000.0,month,IDR
Brand Associate,Jakarta Selatan,"PT Darya Varia Laboratoria, Tbk",2 hari yang lalu,,,,,
Technical Service,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,,,,,
RECEPTIONIST,Jakarta Utara,PT Uniair Indotama Cargo,13 hari yang lalu,,,,,
Corporate Accounting & Management Reporting,Jakarta Selatan,PT Bakrieland Development Tbk,1 hari yang lalu,Rp 9.000.000 – Rp 11.000.000 per month,9000000.0,11000000.0,month,IDR
Admin Purchasing Temporary,Jakarta Raya,Sari Rasa Group,20 jam yang lalu,,,,,
